,Incident Date,State,City Or County,Address,# Killed,# Injured,Zipcode
1211,2017-05-02,FL,Jacksonville,1566 West 24th Street,1,3,32209
1212,2017-05-01,TX,Dallas,3200 block of Reynolds Ave,2,3,75223
1213,2017-04-30,CA,San Diego,9080 Judicial Dr,2,6,92122
1214,2017-04-30,KS,Topeka,4104 SW 28th,4,1,66614
1216,2017-04-30,SC,Loris,268 N Sea Green Rd,1,5,29569
1217,2017-04-29,CA,Los Angeles (Boyle Heights),Murchison St and Lancaster Ave,1,3,90033
1218,2017-04-29,CA,Sacramento,3800 block of 26th Avenue,0,5,95820
1219,2017-04-29,CA,Whittier,10000 block of Carmentia Rd,1,5,90605
1220,2017-04-29,MD,Germantown,12839 Kitchen House Way,1,3,20874
1221,2017-04-29,CA,Compton,2000 Block of N Nestor Ave,0,4,90222
1222,2017-04-29,VA,Virginia Beach,200 block of 18th St,0,4,23451
1223,2017-04-28,PA,Chester,5 E 21st St,0,4,19013
1224,2017-04-27,NJ,Newark,1100 block of S Orange Ave,1,3,07106
1225,2017-04-26,FL,Miami,SW 264th St and 139th Ave,0,4,33032
1226,2017-04-21,FL,Palm Bay,2500 block of Vernon Dr,2,2,32905
1227,2017-04-20,KY,Louisville,700 block of East Jacob Street,0,4,40203
1228,2017-04-16,CA,Vallejo,110 Calhoun Street,0,4,94590
1229,2017-04-16,NC,Elizabeth City,611 S Martin St,0,4,27909
1230,2017-04-16,OH,Columbus,1710 Cleveland Av,0,9,43211
1231,2017-04-15,IL,Rock Falls,311 W  2nd St,0,4,61071
1232,2017-04-15,PA,Philadelphia,5900 block of Hammond St,0,4,19120
1233,2017-04-15,IN,Indianapolis,300 block of S Meridian St,0,4,46225
1234,2017-04-15,AL,Birmingham,1480 Center Point Pkwy,0,6,35215
1235,2017-04-15,IL,Harvey,14600 block of Myrtle Avenue,0,4,60426
1236,2017-04-15,CA,Banning,900 block of N Allen St,0,4,92220
1237,2017-04-13,GA,Atlanta,30 Anderson Ave SW,1,3,30314
1238,2017-04-09,TX,San Antonio,3100 block of Fidelia Drive,1,3,78224
1239,2017-04-09,IN,Fort Wayne,9439 Lima Rd,1,3,46818
1240,2017-04-07,NC,Hickory,1423 29th Ave Dr NE,3,1,28601
1241,2017-04-07,TX,Houston,3829 Mount Pleasant St,5,0,77021
1242,2017-04-07,MN,Saint Paul,1600 block of English St,4,1,55109
1243,2017-04-07,IL,Chicago,5600 block of W Lake St,1,5,60644
1244,2017-04-06,LA,Lake Charles,2000 block of Tulip St,1,3,70601
1245,2017-04-03,PA,Philadelphia,1100 block of W Stiles St,3,1,19122
1246,2017-04-03,TX,Lubbock,5401 Ave Q,0,7,79412
1247,2017-04-02,IL,Chicago,3500 block of W Van Buren St,2,4,60624
1248,2017-04-02,IA,Des Moines,2500 Martin Luther King Jr. Parkway,0,5,50310
1249,2017-04-01,CA,Pittsburg,100 block of Madoline Street,0,5,94565
1250,2017-04-01,FL,Tampa,219 S Howard Ave,1,4,33606
1251,2017-04-01,OK,Oklahoma City,1200 block of N Woodward Avenue,2,3,73107
1252,2017-03-30,IL,Chicago,2704 E 75th St,4,0,60649
1253,2017-03-27,FL,Sanford,209 Hays Dr,2,4,32771
1254,2017-03-26,OH,Cleveland,E 75th St,2,2,44103
1255,2017-03-26,TX,Houston,5619 Aldine Bender Rd,2,4,77032
1256,2017-03-26,OH,Cincinnati,4601 Kellogg Ave,2,15,45226
1257,2017-03-25,TN,Knoxville,Minnesota Ave,1,4,37921
1258,2017-03-25,MI,Detroit,8443 Grand River Ave,1,3,48204
1259,2017-03-25,OH,Cleveland,E 79th St and Woodland Ave,2,2,44104
1260,2017-03-24,CA,Fresno,300 block of South Villa Avenue,1,4,93727
1261,2017-03-24,MO,Saint Louis,5100 block of Palm St,1,6,63115
1262,2017-03-22,WI,Rothschild,1133 E Grand Ave,5,0,54474
1263,2017-03-19,KY,Louisville,1512 Portland Avenue,1,5,40203
1264,2017-03-18,MI,Detroit,16000 block of Rutherford,3,2,48227
1265,2017-03-15,LA,Metairie,2508 Pasadena Ave,3,1,70001
1266,2017-03-10,IL,Chicago,123 E 51st St,2,2,60615
1267,2017-03-10,LA,New Orleans (Gentilly),4200 block of Touro St,3,1,70122
1268,2017-03-07,IL,Chicago,W 76th St and S May St,0,4,60620
1269,2017-03-05,GA,Columbus,600 block of 32nd Street,0,4,31904
1270,2017-03-04,KS,Topeka,23rd and Bellview,1,4,66605
1271,2017-03-04,CA,Sacramento,2500 block of 33rd St,0,4,95817
1272,2017-03-03,PA,Philadelphia,7165 Germantown Ave,0,4,19119
1273,2017-03-03,CA,Riverside,8300 block of Trey Ave,0,5,92503
1274,2017-02-28,OH,Cincinnati,1700 of Casey Dr,0,6,45223
1275,2017-02-27,VA,Newport News,11810 Fountain Way,0,4,23606
1276,2017-02-26,IN,Gary,1700 Grant St,1,4,46404
1277,2017-02-25,OH,Warren,1564 Niles Cortland Rd SE,2,3,44484
1278,2017-02-25,FL,Jacksonville,3604 Moncrief Rd,1,4,32209
1279,2017-02-22,NY,Rochester,191 Genesee St,0,4,14611
1280,2017-02-21,OH,Cleveland,16700 Lorain Ave,0,4,44111
1281,2017-02-21,MS,Toomsuba,Butts Road,4,0,39364
1282,2017-02-20,OH,Cleveland,1082 East 105th Street,0,5,44108
1283,2017-02-19,VA,Norfolk,Church Street and East Virginia Beach Blvd,1,3,23504
1284,2017-02-18,PA,Philadelphia,1 block of N Conestoga,0,4,19139
1285,2017-02-18,IN,South Bend,1000 block of Yukon St,1,3,46616
1286,2017-02-15,CA,Salinas,30 Soledad Street,0,4,93901
1287,2017-02-15,IL,Chicago,3949 South Albany Avenue,3,2,60632
1288,2017-02-12,MO,Caruthersville,908 Truman Blvd,1,6,63830
1289,2017-02-12,NY,Newburgh,253 South William Street,1,3,12550
1290,2017-02-12,FL,Greenville,Church Ave and Obadiah St,0,5,32331
1291,2017-02-11,IL,Chicago,100 block of N Mayfield,1,3,60644
1292,2017-02-11,TN,Savannah,Clifton Road and Midway Drive,0,4,38372
1293,2017-02-10,LA,New Orleans,2nd St and Dryades St,1,5,70113
1294,2017-02-09,MS,Jackson,3150 Robinson Road,4,0,39209
1295,2017-02-08,OH,Cleveland,16379 Euclid Ave,1,4,44112
1296,2017-02-07,SC,Columbia,5500 block of Fairfield Road,0,4,29203
1297,2017-02-07,AR,Little Rock,25 Par Drive,1,4,72210
1298,2017-02-06,MS,Yazoo City,11th Street,4,0,39194
1299,2017-01-31,TN,Memphis,1576 S White Station Rd,0,4,38117
1300,2017-01-31,DC,Washington,2900 block of Martin Luther King Jr Ave,0,4,20032
1301,2017-01-30,MN,Minneapolis (Crystal),5410 Lakeland Ave N,0,4,55429
1302,2017-01-29,LA,Shreveport,6363 Hearne Ave,1,4,71108
1304,2017-01-27,TN,Brownsville,221 Morgan St,0,10,38012
1305,2017-01-26,GA,Albany,1510 Maryland Drive,2,3,31707
1306,2017-01-25,IL,Chicago,500 block of E 75th St,0,6,60619
1308,2017-01-22,IL,Chicago (Englewood),1800 block of W 63rd,0,4,60636
1309,2017-01-22,GA,Atlanta,2841 Greenbriar Pkwy SW,3,1,30331
1310,2017-01-21,GA,Jonesboro,6510 Tara Blvd,0,6,30236
1311,2017-01-21,FL,Boynton Beach,500 NE 2nd St,0,5,33435
1312,2017-01-21,TN,Memphis,500 block of Delta Road,2,2,38109
1314,2017-01-20,CA,Fresno,4700 block of E Montecito Ave,0,4,93702
1315,2017-01-16,TX,Houston,8535 Martin Luther King Boulevard,0,4,77033
1316,2017-01-16,FL,Miami,6011 NW 32nd Ave,0,8,33142
1318,2017-01-15,MS,Magnolia,6000 block of Church Road,1,4,39652
1319,2017-01-12,MO,Kansas City,8607 E 61st Terrace,3,2,64129
1320,2017-01-12,CA,Salinas,500 block of Sunrise St,2,2,93905
1321,2017-01-11,NJ,Newark,Hawkins Street and Christie Street,1,3,07105
1322,2017-01-11,IL,Chicago,4200 block of S Talman,1,3,60632
1323,2017-01-07,MI,Flint,2500 block of Churchill Ave,1,3,48506
1324,2017-01-06,CA,Pasadena,100 block of W Claremont St,2,2,91103
1325,2017-01-06,FL,Fort Lauderdale,100 Terminal Dr,5,6,33315
1326,2017-01-04,CA,Fontana,14520 Village Drive,3,1,92337
1327,2017-01-03,TX,Allen,500 block of Hawthorne Drive,0,4,75002
1328,2017-01-01,MS,Winstonville,114 North Greyer Street,0,5,38781
1329,2017-01-01,TX,Dallas,9220 Skillman Street,1,3,75243
1330,2017-01-01,FL,Miami,8000 block of NW 14th Ave,0,7,33147
